timestamp;set_curr_ps;set_volt_ps;set_pow_ps;set_curr_el;set_volt_el;set_pow_el;meas_curr_ps;meas_volt_ps;meas_pow_ps;meas_curr_el;meas_volt_el;meas_pow_el
2026-01-07 10:07:56;0.0;40.0;2400.0;120.0;;2400.0;0.0;0.0;0.0;0.0;0.0;0.0
2026-01-07 10:07:58;4.997;40.0;2400.0;120.0;;2400.0;4.931;0.0;0.0;4.898;0.0;0.0
2026-01-07 10:08:00;9.998;40.0;2400.0;120.0;;2400.0;9.984;0.052;0.469;9.938;0.009;0.0
2026-01-07 10:08:02;15.0;40.0;2400.0;120.0;;2400.0;14.939;0.087;1.172;14.891;0.031;0.0
2026-01-07 10:08:04;19.997;40.0;2400.0;120.0;;2400.0;19.95;0.111;2.109;19.898;0.05;1.969
2026-01-07 10:08:06;24.998;40.0;2400.0;120.0;;2400.0;25.013;0.142;3.281;24.969;0.069;1.969
2026-01-07 10:08:08;30.0;40.0;2400.0;120.0;;2400.0;30.023;0.167;4.805;29.977;0.087;3.0
2026-01-07 10:08:10;34.997;40.0;2400.0;120.0;;2400.0;35.053;0.198;6.797;34.992;0.109;3.0
2026-01-07 10:08:12;39.998;40.0;2400.0;120.0;;2400.0;40.069;0.228;9.023;39.984;0.125;4.031
2026-01-07 10:08:14;45.0;40.0;2400.0;120.0;;2400.0;45.023;0.248;11.133;44.953;0.147;4.031
2026-01-07 10:08:16;49.997;40.0;2400.0;120.0;;2400.0;50.03;0.281;13.945;49.961;0.162;10.031
2026-01-07 10:08:18;54.998;40.0;2400.0;120.0;;2400.0;55.05;0.311;16.992;54.961;0.184;10.969
2026-01-07 10:08:20;60.0;40.0;2400.0;120.0;;2400.0;60.042;0.336;20.156;59.953;0.206;12.0
2026-01-07 10:08:22;64.997;40.0;2400.0;120.0;;2400.0;65.039;0.366;23.672;64.945;0.225;13.031
2026-01-07 10:08:24;69.998;40.0;2400.0;120.0;;2400.0;69.98;0.387;26.953;69.883;0.244;13.969
2026-01-07 10:08:26;75.0;40.0;2400.0;120.0;;2400.0;74.93;0.422;31.523;74.828;0.262;22.031
2026-01-07 10:08:28;79.997;40.0;2400.0;120.0;;2400.0;79.931;0.441;35.156;79.82;0.284;24.0
2026-01-07 10:08:30;84.998;40.0;2400.0;120.0;;2400.0;84.975;0.472;40.078;84.852;0.3;25.031
2026-01-07 10:08:32;90.0;40.0;2400.0;120.0;;2400.0;89.944;0.5;44.766;89.828;0.322;27.0
2026-01-07 10:08:34;94.997;40.0;2400.0;120.0;;2400.0;94.973;0.534;50.625;94.836;0.344;28.031
2026-01-07 10:08:36;99.998;40.0;2400.0;120.0;;2400.0;99.975;0.555;55.43;99.836;0.359;40.031
2026-01-07 10:08:38;105.0;40.0;2400.0;120.0;;2400.0;104.953;0.586;61.758;104.82;0.381;42.0
2026-01-07 10:08:40;109.997;40.0;2400.0;120.0;;2400.0;109.922;0.616;67.5;109.781;0.4;43.969
2026-01-07 10:08:43;114.998;40.0;2400.0;120.0;;2400.0;114.966;0.644;73.828;114.828;0.416;46.031
2026-01-07 10:08:45;120.0;40.0;2400.0;120.0;;2400.0;119.967;0.673;80.742;119.836;0.438;48.0
