timestamp;set_curr_ps;set_volt_ps;set_pow_ps;set_curr_el;set_volt_el;set_pow_el;meas_curr_ps;meas_volt_ps;meas_pow_ps;meas_curr_el;meas_volt_el;meas_pow_el
2026-01-06 15:37:28;0.000 A;4.000 V;0.000 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:37:30;0.000 A;8.000 V;19.922 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:37:32;0.000 A;12.000 V;19.922 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:37:34;0.000 A;16.000 V;19.922 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:37:37;0.000 A;20.000 V;19.922 W;0.000 A;;19.969 W;0.000 A;0.000 V;0.000 W;0.000 A;0.000 V;0.000 W
2026-01-06 15:37:39;0.998 A;4.000 V;23.906 W;1.000 A;;24.000 W;0.825 A;0.000 V;0.000 W;0.789 A;0.000 V;0.000 W
2026-01-06 15:37:41;0.998 A;8.000 V;27.891 W;1.000 A;;27.938 W;0.816 A;0.000 V;0.000 W;0.789 A;0.000 V;0.000 W
2026-01-06 15:37:43;0.998 A;12.000 V;31.992 W;1.000 A;;31.969 W;0.816 A;0.000 V;0.000 W;0.789 A;0.000 V;0.000 W
2026-01-06 15:37:45;0.998 A;16.000 V;35.977 W;1.000 A;;36.000 W;0.820 A;0.000 V;0.000 W;0.789 A;0.000 V;0.000 W
2026-01-06 15:37:47;0.998 A;20.000 V;39.961 W;1.000 A;;39.938 W;0.834 A;0.000 V;0.000 W;0.789 A;0.000 V;0.000 W
2026-01-06 15:37:49;1.997 A;4.000 V;27.891 W;2.000 A;;27.938 W;1.913 A;0.000 V;0.000 W;1.859 A;0.000 V;0.000 W
2026-01-06 15:37:51;1.997 A;8.000 V;35.977 W;2.000 A;;36.000 W;1.903 A;0.000 V;0.000 W;1.875 A;0.000 V;0.000 W
2026-01-06 15:37:53;1.997 A;12.000 V;43.945 W;2.000 A;;43.969 W;1.917 A;0.000 V;0.000 W;1.875 A;0.000 V;0.000 W
2026-01-06 15:37:55;1.997 A;16.000 V;51.914 W;2.000 A;;51.938 W;1.913 A;0.000 V;0.000 W;1.875 A;0.000 V;0.000 W
2026-01-06 15:37:57;1.997 A;20.000 V;60.000 W;2.000 A;;60.000 W;1.913 A;0.000 V;0.000 W;1.875 A;0.000 V;0.000 W
2026-01-06 15:37:59;3.000 A;4.000 V;31.992 W;3.000 A;;31.969 W;2.916 A;0.000 V;0.000 W;2.867 A;0.000 V;0.000 W
2026-01-06 15:38:01;3.000 A;8.000 V;43.945 W;3.000 A;;43.969 W;2.902 A;0.000 V;0.000 W;2.867 A;0.000 V;0.000 W
2026-01-06 15:38:04;3.000 A;12.000 V;55.898 W;3.000 A;;55.969 W;2.902 A;0.000 V;0.000 W;2.867 A;0.000 V;0.000 W
2026-01-06 15:38:06;3.000 A;16.000 V;67.969 W;3.000 A;;67.969 W;2.902 A;0.000 V;0.000 W;2.867 A;0.000 V;0.000 W
2026-01-06 15:38:08;3.000 A;20.000 V;79.922 W;3.000 A;;79.969 W;2.906 A;0.000 V;0.000 W;2.867 A;0.000 V;0.000 W
2026-01-06 15:38:10;3.998 A;4.000 V;35.977 W;4.000 A;;36.000 W;3.905 A;0.000 V;0.000 W;3.875 A;0.000 V;0.000 W
2026-01-06 15:38:12;3.998 A;8.000 V;51.914 W;4.000 A;;51.938 W;3.914 A;0.000 V;0.000 W;3.859 A;0.000 V;0.000 W
2026-01-06 15:38:14;3.998 A;12.000 V;67.969 W;4.000 A;;67.969 W;3.900 A;0.000 V;0.000 W;3.875 A;0.000 V;0.000 W
2026-01-06 15:38:16;3.998 A;16.000 V;83.906 W;4.000 A;;84.000 W;3.900 A;0.000 V;0.000 W;3.875 A;0.000 V;0.000 W
2026-01-06 15:38:18;3.998 A;20.000 V;83.906 W;4.000 A;;99.938 W;3.914 A;0.000 V;0.000 W;3.875 A;0.000 V;0.000 W
2026-01-06 15:38:20;4.997 A;4.000 V;99.961 W;5.000 A;;39.938 W;4.941 A;0.000 V;0.000 W;4.898 A;0.000 V;0.000 W
2026-01-06 15:38:22;4.997 A;8.000 V;39.961 W;5.000 A;;60.000 W;4.936 A;0.000 V;0.000 W;4.898 A;0.000 V;0.000 W
2026-01-06 15:38:24;4.997 A;12.000 V;60.000 W;5.000 A;;79.969 W;4.927 A;0.000 V;0.000 W;4.898 A;0.000 V;0.000 W
2026-01-06 15:38:26;4.997 A;16.000 V;79.922 W;5.000 A;;99.938 W;4.931 A;0.000 V;0.000 W;4.898 A;0.000 V;0.000 W
2026-01-06 15:38:29;4.997 A;20.000 V;99.961 W;5.000 A;;120.000 W;4.931 A;0.000 V;0.000 W;4.898 A;0.000 V;0.000 W
2026-01-06 15:38:31;6.000 A;4.000 V;43.945 W;6.000 A;;43.969 W;5.925 A;0.041 V;0.234 W;5.875 A;0.000 V;0.000 W
2026-01-06 15:38:33;6.000 A;8.000 V;67.969 W;6.000 A;;67.969 W;5.934 A;0.000 V;0.000 W;5.875 A;0.000 V;0.000 W
2026-01-06 15:38:35;6.000 A;12.000 V;91.992 W;6.000 A;;91.969 W;5.930 A;0.000 V;0.000 W;5.875 A;0.000 V;0.000 W
2026-01-06 15:38:37;6.000 A;16.000 V;115.898 W;6.000 A;;115.969 W;5.925 A;0.000 V;0.000 W;5.891 A;0.000 V;0.000 W
2026-01-06 15:38:39;6.000 A;20.000 V;139.922 W;6.000 A;;139.969 W;5.920 A;0.000 V;0.000 W;5.875 A;0.000 V;0.000 W
2026-01-06 15:38:41;6.998 A;4.000 V;47.930 W;7.000 A;;48.000 W;6.984 A;0.000 V;0.000 W;6.938 A;0.000 V;0.000 W
2026-01-06 15:38:43;6.998 A;8.000 V;47.930 W;7.000 A;;75.938 W;6.970 A;0.044 V;0.234 W;6.938 A;0.000 V;0.000 W
2026-01-06 15:38:45;6.998 A;12.000 V;103.945 W;7.000 A;;103.969 W;6.980 A;0.041 V;0.234 W;6.922 A;0.000 V;0.000 W
2026-01-06 15:38:47;6.998 A;16.000 V;103.945 W;7.000 A;;132.000 W;6.980 A;0.042 V;0.234 W;6.922 A;0.000 V;0.000 W
2026-01-06 15:38:49;6.998 A;20.000 V;159.961 W;7.000 A;;159.938 W;6.961 A;0.044 V;0.234 W;6.922 A;0.000 V;0.000 W
2026-01-06 15:38:51;7.997 A;4.000 V;51.914 W;8.000 A;;51.938 W;7.969 A;0.041 V;0.234 W;7.914 A;0.003 V;0.000 W
2026-01-06 15:38:53;7.997 A;8.000 V;83.906 W;8.000 A;;84.000 W;7.973 A;0.042 V;0.234 W;7.930 A;0.003 V;0.000 W
2026-01-06 15:38:56;7.997 A;12.000 V;115.898 W;8.000 A;;115.969 W;7.969 A;0.000 V;0.000 W;7.914 A;0.003 V;0.000 W
2026-01-06 15:38:58;7.997 A;16.000 V;147.891 W;8.000 A;;147.938 W;7.964 A;0.047 V;0.352 W;7.914 A;0.003 V;0.000 W
2026-01-06 15:39:00;7.997 A;20.000 V;180.000 W;8.000 A;;180.000 W;7.955 A;0.050 V;0.352 W;7.914 A;0.003 V;0.000 W
2026-01-06 15:39:02;9.000 A;4.000 V;55.898 W;9.000 A;;55.969 W;8.967 A;2.111 V;18.750 W;8.922 A;2.075 V;19.031 W
2026-01-06 15:39:04;9.000 A;8.000 V;91.992 W;9.000 A;;91.969 W;8.967 A;2.102 V;18.750 W;8.922 A;2.059 V;19.031 W
2026-01-06 15:39:06;9.000 A;12.000 V;127.969 W;9.000 A;;127.969 W;8.967 A;2.277 V;20.391 W;8.922 A;2.156 V;19.969 W
2026-01-06 15:39:08;9.000 A;16.000 V;163.945 W;9.000 A;;163.969 W;8.981 A;2.584 V;23.086 W;8.922 A;2.531 V;22.031 W
2026-01-06 15:39:10;9.000 A;20.000 V;199.922 W;9.000 A;;199.969 W;8.967 A;2.673 V;23.789 W;8.922 A;2.631 V;22.969 W
2026-01-06 15:39:12;9.998 A;4.000 V;60.000 W;10.000 A;;60.000 W;9.961 A;3.983 V;39.492 W;9.914 A;3.941 V;39.000 W
2026-01-06 15:39:14;9.998 A;8.000 V;60.000 W;10.000 A;;99.938 W;9.966 A;8.023 V;79.805 W;9.914 A;7.972 V;79.031 W
2026-01-06 15:39:16;9.998 A;12.000 V;139.922 W;10.000 A;;139.969 W;9.975 A;12.028 V;119.766 W;9.914 A;11.978 V;118.969 W
2026-01-06 15:39:18;9.998 A;16.000 V;180.000 W;10.000 A;;180.000 W;9.970 A;16.028 V;159.609 W;9.914 A;15.975 V;157.969 W
2026-01-06 15:39:20;9.998 A;20.000 V;219.961 W;10.000 A;;219.938 W;9.970 A;20.020 V;199.453 W;9.914 A;19.959 V;198.000 W
